timestamp	step	loss
1652290666740	0	0.3069341480731964
1652290679437	1	0.12857748568058014
1652290692270	2	0.10117901116609573
1652290705252	3	0.08297449350357056
1652290718058	4	0.06940437108278275
1652290730792	5	0.06192680075764656
1652290743678	6	0.05496428534388542
1652290756674	7	0.04896208643913269
1652290769364	8	0.04470251128077507
1652290782163	9	0.03974379599094391
1652290794981	10	0.03620721399784088
1652290807849	11	0.033416397869586945
1652290820746	12	0.031855858862400055
1652290833798	13	0.0287411380559206
1652290846386	14	0.027006929740309715
1652290859027	15	0.026055652648210526
1652290871765	16	0.023333266377449036
1652290884783	17	0.021914398297667503
1652290898103	18	0.02099798433482647
1652290911322	19	0.01905207149684429
